Jumlah pesanan;Subtotal;Timestamp
1;13000;16 Mei 2019 10:48:37
1;13000;16 Mei 2019 10:50:40
2;26000;16 Mei 2019 10:51:17
2;26000;16 Mei 2019 11:14:24
2;26000;16 Mei 2019 19:47:21
1;13000;17 Mei 2019 9:49:47
1;13000;17 Mei 2019 10:04:10
1;13000;22 Mei 2019 9:57:43
